"size","percentage"
668,0.685111739435941
669,0.685135111836419
670,0.685173386944699
671,0.68519697546532
672,0.685216588435579
673,0.685236397908333
674,0.685254803712867
675,0.685276191591236
676,0.68529498504276
677,0.685316483603501
678,0.685338675061266
679,0.685360305977345
680,0.685377054983633
681,0.685400674213527
682,0.685423064271628
683,0.685449515260799
684,0.685463332314643
685,0.685481765958093
686,0.685504378160542
687,0.685526628095624
688,0.685542507242081
689,0.685561149464786
690,0.685578560297373
691,0.685598916477403
692,0.685614132153308
693,0.685632413653678
694,0.685746889510814
695,0.685768200399837
696,0.685782664474608
697,0.685801144469004
698,0.685821090790444
699,0.685847556152661
700,0.685860914608548
701,0.685878260571073
702,0.686095657703364
703,0.686117034178266
704,0.68614127566606
705,0.686163012508932
706,0.68619542959478
707,0.686216145604146
708,0.686231444329038
709,0.686250538537248
710,0.686409488048623
711,0.686427780080721
712,0.686441377626692
713,0.68646034639677
714,0.686485184769927
715,0.686509572738048
716,0.686523531764696
717,0.686549115558861
718,0.686572934438011
719,0.686598384154625
720,0.686619145884167
721,0.686639434458437
722,0.686666124275462
723,0.686692741476006
724,0.686708725549947
725,0.686731892723464
726,0.686854305499634
727,0.686875860865089
728,0.686890598204907
729,0.686909846079967
730,0.686929686453351
731,0.6872764436102
732,0.687291589958131
733,0.687312583803852
734,0.687342340090286
735,0.687365784497738
736,0.687382348419173
737,0.68740144360543
738,0.687417704587291
739,0.687439842769818
740,0.68745797506125
741,0.687479816151226
742,0.687518391796484
743,0.687543739781986
744,0.687566728476014
745,0.687594333603728
746,0.687618858611893
747,0.687659067043623
748,0.687682934768448
749,0.687708016937657
750,0.687758981460653
751,0.68778239077888
752,0.687798877399128
753,0.687816661952159
754,0.68785290834901
755,0.687875918347463
756,0.687892524062709
757,0.687911148857742
758,0.687955271088184
759,0.687976597874022
760,0.687991695262881
761,0.688010476446288
762,0.688040230067897
763,0.688068103407413
764,0.688084514562085
765,0.688103115012241
766,0.688149792384621
767,0.688173096413911
768,0.688189511090971
769,0.688207037120541
770,0.688222594191713
771,0.688241613820259
772,0.688255655371434
773,0.688279219334558
774,0.68857982745602
775,0.68859775089888
776,0.688610447670215
777,0.688626155580404
778,0.688645277379475
779,0.68866915371537
780,0.688689756094046
781,0.688705508065983
782,0.688733295408194
783,0.688753614174364
784,0.688767184547625
785,0.688783396109739
786,0.688797918711438
787,0.688817760835385
788,0.688830116303588
789,0.688846257899872
790,0.688922190125086
791,0.688938236949986
792,0.68895067582863
793,0.688967051001077
794,0.688985785925673
795,0.689008484182124
796,0.689019875437265
797,0.689035490985753
798,0.689059501633081
799,0.68907905663631
800,0.689091043954687
801,0.689111193950969
802,0.690260635654599
803,0.690277989802956
804,0.690290623313047
805,0.690305930209597
806,0.690327946483468
807,0.690343076176243
808,0.690355276333342
809,0.690371238138985
810,0.690385403158023
811,0.690406937396235
812,0.690421103145264
813,0.690436654922223
814,0.690451784728394
815,0.690468911707507
816,0.69048861482823
817,0.69050340679696
818,0.690518971798821
819,0.690539929017372
820,0.690551052443425
821,0.69056662702023
822,0.690583913697486
823,0.690600739600985
824,0.690614977052234
825,0.690630965279333
826,0.690654600668273
827,0.690674019843386
828,0.690685929017188
829,0.690702469734801
830,0.690731528368632
831,0.69075201039077
832,0.690762833357805
833,0.690777882942822
834,0.690800449368396
835,0.690816804795624
836,0.690828407528725
837,0.690844022623626
838,0.690860766328614
839,0.690876822409529
840,0.690898108422127
841,0.69091233089791
842,0.691000200858746
843,0.691022679855381
844,0.691033300685517
845,0.691048334309933
846,0.691079714736332
847,0.691097486510961
848,0.691108359528511
849,0.691123307743869
850,0.691148477639683
851,0.691165982223081
852,0.691178046516629
853,0.691193513465688
854,0.691273948089923
855,0.691289315030083
856,0.69129967289302
